SimTime,vout,sq_out,vout_smooth
4068.6177121,0.078398814108112,-1,0.131878344036548
4071.4270298,0.238398927138121,-1,0.134955267385972
4072.0536453,0.078398826791346,-1,0.138032130213076
4072.1876905,0.238398869921436,-1,0.141109054181021
4072.2168882,0.078399093774406,-1,0.144185916740827
4072.2231985,0.238397636532686,-1,0.147262840833083
4072.2245669,0.078404784665,-1,0.150339703333333
4072.2248632,0.238371366634633,-1,0.153416627455863
4072.2249275,0.078525943437289,-1,0.156493489942553
4072.2249414,0.237814102679162,-1,0.159570414069262
4072.2249444,0.081055682481075,-1,0.156493489867019
4072.2249451,0.226976530752063,-1,0.15957041380047
4072.2249452,0.11802653856881,-1,0.15649348999241
4072.2249453,0.158477310097468,-1,0.159570413438497
4072.2249454,0.158398639660581,-1,0.156493491830852
4072.2249455,0.158398960907694,-1,0.159570405008473
4072.2249457,0.158398816058842,-1,0.156493530838801
4072.224946,0.158398917132958,-1,0.159570225136042
4072.2249468,0.1583988321417,-1,0.156494361347051
4072.2249482,0.158398910186868,-1,0.159566395691519
4072.224951,0.158398835374944,-1,0.15651196513158
4072.2249568,0.158398908626445,-1,0.15948670182052
4072.2249682,0.158398836141547,-1,0.156849100950084
4072.224991,0.158398908246492,-1,0.15840188163565
4072.2250367,0.158398836330693,-1,0.158398866175005
4072.2251282,0.158398908152126,-1,0.158398873741657
4072.225311,0.158398836377824,-1,0.15839887171139
4072.2256766,0.158398908128573,-1,0.158398872493493
4072.2264079,0.158398836389598,-1,0.158398872146866
4072.2278705,0.158398908122687,-1,0.158398872310398
4072.2307957,0.15839883639254,-1,0.158398872230928
4072.236646,0.158398908121216,-1,0.158398872270103
4072.2483466,0.158398836393276,-1,0.158398872250709
4072.2717479,0.158398908120848,-1,0.158398872260454
4072.3185505,0.15839883639346,-1,0.15815510311056
4072.4121556,0.158398908120756,-1,0.158155102970155
4072.5993658,0.158398836393506,-1,0.157911333809027
4072.9737863,0.158398908120733,-1,0.157911333665581
4073.7226273,0.158398836393516,-1,0.157667564544744
4075.2203093,0.158398908120716,-1,0.157667564220783
4078.2156732,0.15839883639352,-1,0.157423795933302
4084.2064012,0.158398908120756,-1,0.157423791763479
4096.187857,0.158398836393522,-1,0.157180041226731
4120.1507686,0.158398908120653,-1,0.157179955163125
4168.076592,0.158398836393525,-1,0.156936581725652
4263.9282386,0.158398908120653,-1,0.156934774527199
4455.6315318,0.158398836393499,-1,0.156698952903377
4839.0381183,0.158398908122199,-1,0.156668828740275
5000,0.158398836394907,-1,0.156546964150719
5033.8324833,0.152060910349251,-1,0.156425089055447
5041.3507153,0.158398832680174,-1,0.15630319604164
5042.9615596,0.152060909962804,-1,0.156181319232471
5043.3121925,0.158398832648219,-1,0.156059426993325
5043.3879948,0.152060910986818,-1,0.155937549815602
5043.4044308,0.158398827966593,-1,0.155815657756249
5043.40799,0.152060932648188,-1,0.155693780489728
5043.4087612,0.158398727977144,-1,0.155571888474502
5043.4089283,0.152061394165765,-1,0.155450011185986
5043.4089645,0.158396598739534,-1,0.155328119181682
5043.4089723,0.152071198746544,-1,0.155206241887626
5043.4089741,0.158351849233673,-1,0.155328119031177
5043.4089744,0.152267545901386,-1,0.155206241878624
5043.4089745,0.157615608152853,-1,0.155328119037725
5043.4089746,0.155230428792289,-1,0.155206241886058
5043.4089747,0.155230083916433,-1,0.155328119005944
5043.4089749,0.155229689761743,-1,0.155206242034255
5043.4089751,0.155230039355131,-1,0.155328118321054
5043.4089756,0.155229709902958,-1,0.155206245195091
5043.4089767,0.155230029772711,-1,0.155328103731225
