SimTime,nrst,hl,uv,ov,oc,zc,gp,gp_ack,gn,gn_ack,get,pass
15016.947,1,1,1,0,1,0,0,0,0,0,1,0
15024.947,1,1,1,0,1,0,0,0,1,0,1,0
15026.942,1,1,1,0,0,0,0,0,1,1,1,0
15049.942,1,1,1,0,0,0,0,0,0,1,1,0
15051.405,1,1,1,0,0,0,0,0,0,0,1,0
15069.405,1,1,1,0,0,0,1,0,0,0,1,0
15071.744,1,1,1,0,1,0,1,1,0,0,1,0
15107.744,1,1,1,0,1,0,0,1,0,0,1,0
15109.634,1,1,1,0,1,0,0,0,0,0,1,0
15117.634,1,1,1,0,1,0,0,0,1,0,1,0
15119.627,1,1,1,0,0,0,0,0,1,1,1,0
15142.627,1,1,1,0,0,0,0,0,0,1,1,0
15144.117,1,1,1,0,0,0,0,0,0,0,1,0
15162.117,1,1,1,0,0,0,1,0,0,0,1,0
15164.449,1,1,1,0,1,0,1,1,0,0,1,0
15200.449,1,1,1,0,1,0,0,1,0,0,1,0
15202.34,1,1,1,0,1,0,0,0,0,0,1,0
15210.34,1,1,1,0,1,0,0,0,1,0,1,0
15212.335,1,1,1,0,0,0,0,0,1,1,1,0
15235.335,1,1,1,0,0,0,0,0,0,1,1,0
15236.998,1,1,1,0,0,0,0,0,0,0,1,0
15254.998,1,1,1,0,0,0,1,0,0,0,1,0
15257.33,1,1,1,0,1,0,1,1,0,0,1,0
15293.33,1,1,1,0,1,0,0,1,0,0,1,0
15295.221,1,1,1,0,1,0,0,0,0,0,1,0
15303.221,1,1,1,0,1,0,0,0,1,0,1,0
15305.216,1,1,1,0,0,0,0,0,1,1,1,0
15328.216,1,1,1,0,0,0,0,0,0,1,1,0
15329.674,1,1,1,0,0,0,0,0,0,0,1,0
15347.674,1,1,1,0,0,0,1,0,0,0,1,0
15350.014,1,1,1,0,1,0,1,1,0,0,1,0
15386.014,1,1,1,0,1,0,0,1,0,0,1,0
15387.907,1,1,1,0,1,0,0,0,0,0,1,0
15395.907,1,1,1,0,1,0,0,0,1,0,1,0
15397.903,1,1,1,0,0,0,0,0,1,1,1,0
15420.903,1,1,1,0,0,0,0,0,0,1,1,0
15422.376,1,1,1,0,0,0,0,0,0,0,1,0
15440.376,1,1,1,0,0,0,1,0,0,0,1,0
15442.715,1,1,1,0,1,0,1,1,0,0,1,0
15478.715,1,1,1,0,1,0,0,1,0,0,1,0
15480.609,1,1,1,0,1,0,0,0,0,0,1,0
15488.609,1,1,1,0,1,0,0,0,1,0,1,0
15490.602,1,1,1,0,0,0,0,0,1,1,1,0
15513.602,1,1,1,0,0,0,0,0,0,1,1,0
15515.148,1,1,1,0,0,0,0,0,0,0,1,0
15533.148,1,1,1,0,0,0,1,0,0,0,1,0
15535.488,1,1,1,0,1,0,1,1,0,0,1,0
15571.488,1,1,1,0,1,0,0,1,0,0,1,0
15573.381,1,1,1,0,1,0,0,0,0,0,1,0
15581.381,1,1,1,0,1,0,0,0,1,0,1,0
15583.373,1,1,1,0,0,0,0,0,1,1,1,0
15606.373,1,1,1,0,0,0,0,0,0,1,1,0
15607.917,1,1,1,0,0,0,0,0,0,0,1,0
15625.917,1,1,1,0,0,0,1,0,0,0,1,0
15628.257,1,1,1,0,1,0,1,1,0,0,1,0
15664.257,1,1,1,0,1,0,0,1,0,0,1,0
15666.153,1,1,1,0,1,0,0,0,0,0,1,0
15674.153,1,1,1,0,1,0,0,0,1,0,1,0
15676.143,1,1,1,0,0,0,0,0,1,1,1,0
15699.143,1,1,1,0,0,0,0,0,0,1,1,0
15700.827,1,1,1,0,0,0,0,0,0,0,1,0
15718.827,1,1,1,0,0,0,1,0,0,0,1,0
15721.163,1,1,1,0,1,0,1,1,0,0,1,0
15757.163,1,1,1,0,1,0,0,1,0,0,1,0
15759.06,1,1,1,0,1,0,0,0,0,0,1,0
15767.06,1,1,1,0,1,0,0,0,1,0,1,0
15769.049,1,1,1,0,0,0,0,0,1,1,1,0
15792.049,1,1,1,0,0,0,0,0,0,1,1,0
15793.598,1,1,1,0,0,0,0,0,0,0,1,0
15811.598,1,1,1,0,0,0,1,0,0,0,1,0
15813.935,1,1,1,0,1,0,1,1,0,0,1,0
