SimTime,power_in,p_$flow,gp_ack_bus[0]
55019.9240741,4.8379370563073465,1.0799852959337841,1
55019.9240791,4.8379370567709454,1.07998532263617,1
55019.924089,4.8379370576981415,1.0799853760410856,1
55019.9241087,4.8379370595525337,1.0799854828514917,1
55019.9241483,4.8379370632613208,1.0799856964746051,1
55019.9242274,4.8379370706788958,1.0799861237300326,1
55019.9243856,4.8379370855140573,1.0799869782776668,1
55019.924702,4.8379371151844239,1.0799886875198739,1
55019.9253349,4.8379371745253179,1.0799921065906006,1
55019.9266005,4.837937293207756,1.0799989470658091,1
55019.9291319,4.8379375305752284,1.0800126372599967,1
55019.9341946,4.8379380053205727,1.0800400539043418,1
55019.9443199,4.8379389548529517,1.0800950266337808,1
55019.9645707,4.8379408540851321,1.0802054877610199,1
55020.0050722,4.8379446532238015,1.0804281728582046,1
55020.0860752,4.8379522542262974,1.0808786765419109,1
55020.1186297,4.8379553100484554,1.0810612071259407,1
55020.1837388,4.8379614234789843,1.0814276294233567,1
55020.3139571,4.8379736575096555,1.0821629158989341,1
55020.4925777,4.8379904545166221,1.08317111790875,1
55020.706633,4.8380106073765079,1.0843748744072186,1
55020.7688002,4.838016465109134,1.084723807155034,1
55020.7998838,4.8380193947886561,1.0848983722047449,1
55020.862051,4.8380252557767669,1.0852481580762323,1
55020.9863853,4.8380369843050302,1.0859528286664226,1
55021.0485525,4.8380428518639533,1.0863086538265205,1
55021.1728869,4.8380545936736024,1.0870297668723397,1
55021.3438368,4.838070752540454,1.0880420697764002,1
55021.3933696,4.8380754378245818,1.0883396893834005,1
55021.4749585,4.8380831585024842,1.0888334998482105,1
55021.569,4.8380831585024842,1.0888334998482105,0
55021.5697697,4.8380921354692212,1.0894122530003814,0
55021.7593919,4.8381101059701566,1.0905817097161563,0
55021.8542031,4.8381190995549552,1.091171137090571,0
55022.0438253,4.838137103529446,1.0923549636419017,0
55022.4230699,4.8381731788649276,1.0947264504898888,0
55022.9631183,4.8382247048680993,1.0980728336077556,0
55023.5699661,4.8382828170176229,1.1017438915248798,0
55023.92406,4.8383168271566515,1.1038292371571241,0
55023.9683217,4.8383210836317403,1.1040981604351099,0
55024.0051252,4.8383246238105819,1.1043332536916386,0
55024.0140109,4.8383254786650296,1.104390666503009,0
55024.0317823,4.8383271885275549,1.1045062228136442,0
55024.067325,4.8383306088734361,1.1047401608890877,0
55024.1384105,4.8383374520960958,1.1052185959447818,0
55024.2805814,4.8383511490017721,1.1062122837096464,0
55024.5649232,4.8383785867551641,1.1083105953563281,0
55024.8597403,4.8384070997966138,1.1105880676655646,0
55025.2551228,4.8384454443056679,1.1136411942141919,0
55025.5543737,4.8384745440461101,1.1158128429855045,0
55025.5849784,4.8384775237551594,1.1160230291024451,0
55025.646188,4.838483485076547,1.1164349989122242,0
55025.768607,4.8384954150704971,1.1172245410162327,0
55025.7839094,4.8384969069965491,1.1173199729734282,0
55025.8145141,4.8384998912831589,1.1175086188353613,0
55025.8757236,4.8385058615601588,1.1178769408320166,0
55025.9981426,4.8385178086451877,1.118576141657345,0
55026.2429807,4.838541726566147,1.1198181273360761,0
55026.4420223,4.8385611915240858,1.1206711434194763,0
55026.8228532,4.8385984740959493,1.1219102206640135,0
55027.2718846,4.8386424792586302,1.1227183927909479,0
55027.3762853,4.8386527152154253,1.1228066440477331,0
55027.5850866,4.8386731887405974,1.1228736611042904,0
55028.0026893,4.8387141311181079,1.122584657115397,0
55028.7250028,4.8387848760095364,1.1208893394098378,0
55028.8672706,4.8387987944017841,1.1203920933263649,0
55029.1518063,4.8388266083218499,1.1192834268557743,0
55029.4965342,4.8388602614795868,1.1178020200060519,0
55029.6397922,4.838874231441828,1.1171589898349596,0
55029.7114212,4.8388812129543526,1.116834146872133,0
55029.8546792,4.8388951689587909,1.116179470807239,0
55030.1411953,4.8389230525916984,1.1148546180030272,0
55030.5604773,4.8389637878990426,1.1128874675415563,0
55031.1271733,4.8390187128971318,1.1101880911501636,0
55031.3268961,4.8390380337549432,1.1092272948007997,0
55031.7263419,4.8390766176318465,1.1072938456059489,0
55032.5252334,4.8391535520163682,1.1033883649662641,0
55032.8149637,4.8391813761631903,1.1019610780214537,0
55033.3944245,4.8392368999583892,1.0990937711745776,0
55034.5533459,4.8393474466202955,1.0933212264688794,0
55036.0331747,4.8394876272316161,1.0859021622169944,0
55037.7559685,4.8396494364025653,1.0772290766374901,0
55039.7399271,4.8398339206059626,1.0672202113750886,0
55042.1973171,4.8400596724946174,1.0548131433046404,0
55045.4114685,4.8403503411528863,1.0385853379343921,0
55049.901137,4.8407476267379801,1.015929794624532,0
55056.696986,4.8413296348236923,0.98167124739754541,0
55068.5414712,4.8422884003099629,0.92206406355587178,0
55092.2304416,4.8439944968242159,0.80324084760302972,0
55100,4.844492785113502,0.76438291354129073,0
55115.5391166,4.8452944960769972,0.68683783786650932,0
55124.924063,4.8456573107537206,0.64011517309161214,0
55124.9240724,4.8456573110982522,0.64011512375522261,0
55124.9240868,4.8456573116196875,0.6401150458236059,0
55124.924088,4.8456573116653718,0.64011503899587907,0
55124.9240906,4.8456573117567387,0.64011502534041631,0
55124.9240956,4.8456573119394735,0.6401149980294536,0
55124.9241057,4.8456573123049438,0.64011494340737918,0
55124.9241258,4.8456573130358835,0.64011483416263482,0
55124.924166,4.845657314497763,0.64011461567076433,0
55124.9242465,4.8456573174215185,0.64011417867749876,0
55124.9244075,4.8456573232690188,0.64011330465289318,0
55124.9247295,4.8456573349639758,0.64011155645157414,0
55124.9253735,4.8456573583537237,0.64010805944202986,0
55124.9266614,4.845657405132541,0.64010106300745839,0
55124.9292372,4.8456574986874719,0.64008706057280951,0
55124.934389,4.845657685786497,0.64005901820163924,0
55124.9446924,4.8456580599411163,0.64000278935994592,0
55124.9652992,4.8456588080759362,0.63988979999555651,0
55125.0065129,4.8456603036430863,0.63966201685588298,0
55125.077882,4.8456628912561222,0.63926336782045912,0
55125.1095993,4.8456640403056239,0.63908490880237445,0
55125.1730338,4.845666336701675,0.63872664798449053,0
55125.204751,4.8456674840463805,0.63854702571697686,0
55125.2681855,4.845669777024658,0.63818734833481594,0
55125.3950545,4.8456743561331779,0.63746787426891038,0
55125.5980457,4.8456816637767366,0.6363198487863736,0
55125.6578685,4.845683812939563,0.63598246873478581,0
55125.777514,4.8456881052066256,0.63530746009560801,0
55125.9909586,4.8456957422275231,0.63408338145596232,0
55126.0339161,4.8456972760714585,0.6338318013461085,0
55126.1173145,4.8457002507749616,0.6333343623243074,0
55126.1371883,4.8457009590310935,0.63321395622584786,0
55126.1769359,4.8457023748206565,0.63297083707842849,0
55126.2564311,4.8457052034631651,0.63247538217007171,0
55126.4154214,4.8457108486515725,0.63144964269999526,0
55126.4536467,4.8457122034523676,0.63119641674909244,0
55126.4625676,4.8457125194938273,0.63113697989776119,0
55126.4804095,4.8457131514172964,0.63101773315464338,0
55126.5160933,4.8457144146231697,0.63077778642747195,0
55126.5874609,4.8457169384458272,0.63029238498500151,0
55126.7301961,4.8457219755546408,0.62930184767635466,0
55127.0156665,4.845732006443912,0.62725766988174281,0
55127.4318818,4.8457465246910045,0.62417276219945561,0
55127.9005007,4.8457627151731941,0.62061490423697974,0
55128.4311697,4.8457808469293564,0.61654225183476274,0
55129.0350526,4.8458012171027525,0.61190222665837812,0
55129.7459047,4.8458248375097854,0.60647095016265218,0
55130.5941072,4.8458525193668649,0.60005733304900621,0
55130.924063,4.8458631411192652,0.59758391150902501,0
55130.9242643,4.8458631475752361,0.59758236232309636,0
55130.9245703,4.8458631573893705,0.59757994064051523,0
55130.9246715,4.8458631606323896,0.59757914033180115,0
55130.9248012,4.8458631647937409,0.59757811334061328,0
55130.9250608,4.8458631731164017,0.59757605917403078,0
55130.9255798,4.8458631897615634,0.5975719501045953,0
55130.926618,4.8458632230512473,0.59756372902333421,0
55130.9286943,4.8458632896280536,0.59754727511267691,0
55130.9328469,4.8458634227714033,0.59751432046980935,0
55130.9411522,4.8458636890169613,0.59744822525839292,0
55130.9577627,4.8458642213427492,0.59731530189776183,0
55130.9909837,4.8458652853270658,0.59704660767360507,0
55131.0574258,4.8458674105815112,0.59649847443224036,0
55131.1903099,4.8458716499081653,0.59536396535583513,0
55131.4560781,4.8458800817184535,0.59297409495673603,0
55131.7530168,4.8458894253116434,0.59016931188060762,0
55132.1285604,4.8459011220191304,0.58656871781954423,0
55132.4223809,4.8459101805439717,0.5838515712711525,0
55132.4972714,4.8459124767693016,0.58318967964492496,0
55132.6470522,4.8459170547221726,0.58191609650640053,0
55132.827984,4.8459225601794307,0.58047021405747812,0
55133.0908456,4.8459305144389706,0.57855520313838948,0
55133.136,4.8459305144389706,0.57855520313838948,1
55133.1361516,4.8459318803733442,0.57824749924554963,1
55133.2267635,4.8459346081480446,0.57765179293233915,1
55133.4079874,4.845940048210446,0.57653880967030935,1
55133.4136507,4.8459402178877777,0.57650571052594757,1
55133.4249772,4.8459405571863625,0.57643981717399684,1
